,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
3708,Educational,34832,41534694,31,1,31,36,2,Moderate,No,4,1,Banglore,10,17,Time and materials,Low,618
3709,Commercial,39848,37470018,61,8,41,70,3,Moderate,No,4,4,Banglore,8,7,Time and materials,Low,274
3710,Residential,43107,48772958,68,5,30,61,2,Favorable,No,2,1,Chennai,1,1,Time and materials,Medium,281
3711,Industrial,44316,28614997,53,6,36,98,2,Favorable,No,4,4,Hyderabad,5,4,Fixed price,Medium,961
3712,Educational,11206,14836416,91,3,29,94,1,Moderate,Yes,5,5,Delhi,4,6,Fixed price,Low,803
3713,Residential,8671,32542972,38,10,17,41,0,Adverse,No,2,9,Delhi,1,17,Fixed price,Low,315
3714,Commercial,48861,24210685,22,8,45,23,0,Favorable,Yes,5,2,Kolkata,7,16,Fixed price,Low,665
3715,Commercial,45608,24097473,16,9,36,95,3,Favorable,Yes,5,5,Chennai,2,4,Fixed price,Medium,356
3716,Residential,7349,31657445,91,6,23,29,3,Favorable,No,4,0,Kolkata,2,10,Fixed price,High,437
3717,Educational,21796,67985383,40,9,46,41,4,Adverse,No,3,10,Pune,2,15,Fixed price,Low,312
3718,Educational,30162,52898971,68,3,36,69,2,Adverse,No,4,4,Banglore,5,15,Time and materials,Medium,179
3719,Residential,41555,24224629,79,8,48,46,3,Favorable,No,2,6,Banglore,1,6,Fixed price,Medium,146
3720,Industrial,11888,69404434,70,8,44,6,2,Favorable,Yes,4,4,Delhi,10,11,Fixed price,Medium,547
3721,Educational,18460,74278443,99,7,19,80,5,Moderate,No,5,8,Mumbai,6,4,Fixed price,High,203
3722,Residential,29168,10498089,44,2,30,97,4,Moderate,No,1,4,Mumbai,9,16,Time and materials,Medium,202
3723,Residential,17164,70716996,54,8,18,37,0,Adverse,No,1,4,Pune,1,17,Time and materials,Low,930
3724,Residential,33191,32915310,87,2,34,4,0,Favorable,No,3,3,Kolkata,1,15,Fixed price,High,339
3725,Commercial,7658,45939089,16,2,26,56,3,Favorable,Yes,2,4,Pune,6,17,Time and materials,High,194
3726,Infrastructure,28983,82397005,60,1,12,0,0,Favorable,Yes,5,2,Delhi,10,16,Fixed price,Low,350
3727,Educational,12120,36070804,88,6,42,47,2,Favorable,Yes,2,10,Chennai,7,16,Time and materials,Low,874
3728,Commercial,25493,10371016,32,9,32,43,4,Adverse,Yes,2,7,Banglore,7,19,Fixed price,High,654
3729,Infrastructure,26323,8952214,63,4,16,84,1,Moderate,Yes,2,0,Banglore,9,14,Time and materials,High,764
3730,Industrial,29563,60490649,7,1,36,70,1,Adverse,Yes,2,5,Mumbai,5,3,Time and materials,Low,521
3731,Industrial,35044,74881604,52,7,14,21,2,Moderate,No,5,10,Delhi,6,10,Fixed price,Low,856
3732,Residential,43398,56431036,33,6,28,81,4,Favorable,Yes,5,2,Kolkata,9,8,Fixed price,Low,691
3733,Infrastructure,16526,40970211,75,6,49,64,5,Adverse,Yes,3,5,Pune,4,9,Fixed price,High,753
3734,Commercial,6423,36253404,84,5,16,24,3,Moderate,Yes,5,10,Mumbai,8,8,Fixed price,Medium,179
3735,Commercial,39249,55296343,33,10,20,85,1,Adverse,No,5,4,Banglore,1,1,Fixed price,Low,245
3736,Commercial,36082,82654056,43,4,5,12,1,Adverse,No,1,9,Mumbai,7,12,Fixed price,Medium,170
3737,Commercial,42566,59691857,95,7,32,32,0,Favorable,Yes,2,1,Hyderabad,10,5,Fixed price,High,126
3738,Industrial,23437,14309615,97,3,9,63,3,Favorable,No,1,10,Banglore,4,9,Fixed price,High,411
3739,Residential,28081,78155373,38,10,48,59,3,Moderate,Yes,1,0,Delhi,2,13,Fixed price,Medium,215
3740,Infrastructure,25410,55334606,16,7,32,49,1,Favorable,Yes,2,6,Delhi,7,8,Fixed price,High,550
3741,Industrial,14714,5708076,35,1,13,93,1,Favorable,No,2,8,Chennai,4,9,Fixed price,Low,630
3742,Industrial,49680,15537351,75,10,18,13,3,Favorable,Yes,3,5,Delhi,7,12,Time and materials,Medium,583
3743,Industrial,38032,68938555,25,8,26,84,5,Adverse,Yes,3,3,Banglore,9,3,Time and materials,Low,790
3744,Infrastructure,7619,74737599,21,6,8,73,2,Adverse,Yes,1,5,Chennai,9,20,Fixed price,Medium,731
3745,Infrastructure,27431,42983459,98,7,22,64,5,Moderate,Yes,3,5,Hyderabad,1,20,Fixed price,High,387
3746,Residential,1488,42930090,93,8,32,55,2,Adverse,No,5,2,Pune,10,14,Fixed price,Low,631
3747,Residential,45295,10715383,95,7,22,20,5,Moderate,Yes,5,1,Hyderabad,5,9,Time and materials,Low,903
3748,Residential,19802,38578068,34,3,39,14,1,Moderate,No,1,10,Chennai,2,15,Time and materials,High,431
3749,Industrial,5065,17839356,10,7,5,16,2,Adverse,No,4,6,Pune,3,4,Fixed price,Low,409
3750,Industrial,39129,31019092,71,10,20,69,4,Favorable,No,4,4,Mumbai,8,5,Time and materials,Medium,990
3751,Educational,39775,27390498,73,5,19,71,3,Favorable,Yes,1,5,Mumbai,10,3,Time and materials,Medium,806
3752,Infrastructure,8720,5067565,42,6,23,35,4,Favorable,Yes,5,6,Delhi,4,10,Fixed price,Low,460
3753,Residential,42340,50430468,8,1,42,10,0,Favorable,Yes,3,10,Banglore,3,8,Time and materials,Low,485
3754,Industrial,28491,76855676,29,9,18,84,0,Moderate,No,2,8,Delhi,10,18,Fixed price,Low,490
3755,Commercial,1278,10191819,14,10,18,5,2,Favorable,No,1,3,Pune,4,11,Time and materials,High,285
3756,Educational,5747,14843056,53,1,25,9,4,Adverse,No,4,6,Banglore,6,10,Time and materials,Low,305
3757,Infrastructure,10642,19183292,60,7,44,28,0,Moderate,No,4,7,Kolkata,9,9,Fixed price,High,107
3758,Educational,49800,47248497,22,2,25,97,5,Moderate,No,5,4,Pune,3,8,Time and materials,Medium,932
3759,Residential,14867,78895816,46,10,15,55,0,Favorable,No,1,10,Chennai,5,16,Fixed price,High,567
3760,Commercial,4043,27839279,28,10,24,89,4,Adverse,No,3,9,Mumbai,2,19,Fixed price,High,650
3761,Educational,25541,44677406,66,10,36,70,0,Favorable,Yes,5,0,Delhi,4,1,Time and materials,Medium,817
3762,Industrial,6890,18121224,83,6,19,82,4,Favorable,Yes,3,6,Pune,1,19,Fixed price,High,238
3763,Commercial,2826,61161289,47,4,39,23,3,Adverse,Yes,3,0,Kolkata,9,15,Time and materials,Medium,738
3764,Infrastructure,18154,60867469,37,6,15,93,4,Favorable,Yes,5,3,Chennai,6,13,Fixed price,High,527
3765,Residential,41884,72081765,77,1,37,86,1,Moderate,No,4,4,Chennai,4,10,Time and materials,Medium,592
3766,Infrastructure,36403,40894349,92,3,18,53,1,Adverse,Yes,5,2,Pune,6,2,Fixed price,High,699
3767,Residential,9376,56754072,78,5,38,46,4,Moderate,Yes,4,4,Kolkata,8,15,Time and materials,Medium,219
3768,Educational,48695,18304986,65,5,24,13,3,Favorable,No,4,8,Kolkata,5,2,Time and materials,Low,624
3769,Infrastructure,26717,10233817,31,9,41,13,1,Favorable,No,3,8,Pune,8,14,Fixed price,High,291
3770,Infrastructure,42409,56264953,6,1,11,93,2,Adverse,Yes,3,10,Banglore,8,17,Fixed price,Low,679
3771,Educational,3857,20483072,21,7,18,65,2,Favorable,Yes,4,2,Chennai,7,6,Fixed price,Low,761
3772,Infrastructure,43726,54623213,36,10,7,3,5,Adverse,Yes,2,1,Kolkata,8,11,Time and materials,Medium,654
3773,Infrastructure,42239,68434662,69,1,15,17,0,Favorable,No,2,10,Hyderabad,2,8,Fixed price,Medium,1000
3774,Industrial,38890,4834750,13,6,35,42,4,Favorable,No,4,0,Banglore,7,10,Time and materials,High,111
3775,Infrastructure,4297,36582831,30,7,14,12,2,Adverse,Yes,4,6,Chennai,10,16,Fixed price,Medium,848
3776,Infrastructure,36226,32924689,12,1,19,75,4,Moderate,Yes,3,7,Hyderabad,10,18,Time and materials,Medium,743
3777,Educational,30783,56840807,69,3,43,57,1,Favorable,No,5,3,Hyderabad,10,5,Time and materials,Medium,523
3778,Commercial,8859,76019202,90,3,17,39,4,Favorable,No,4,4,Kolkata,8,15,Time and materials,Medium,585
3779,Industrial,43512,80295030,14,6,20,62,1,Adverse,Yes,1,6,Delhi,1,10,Fixed price,Medium,163
3780,Educational,17991,11339128,54,1,27,67,3,Moderate,No,1,9,Mumbai,5,15,Fixed price,Low,915
3781,Infrastructure,9249,8898264,46,2,29,50,4,Moderate,Yes,2,5,Chennai,7,10,Time and materials,Medium,693
3782,Educational,22767,12008274,85,5,39,95,2,Adverse,Yes,5,10,Delhi,7,16,Fixed price,High,774
3783,Infrastructure,38042,31040257,96,3,24,45,0,Adverse,No,4,7,Banglore,6,1,Fixed price,Medium,433
3784,Infrastructure,37947,18104292,12,7,19,34,5,Favorable,No,4,0,Banglore,7,16,Fixed price,Medium,596
3785,Infrastructure,5946,40553717,54,7,45,59,0,Favorable,Yes,5,5,Mumbai,2,2,Time and materials,Low,445
3786,Industrial,41410,67270172,68,8,45,96,2,Favorable,No,2,5,Pune,10,11,Fixed price,High,884
3787,Residential,18217,57981227,22,10,32,2,2,Favorable,Yes,2,5,Hyderabad,2,13,Fixed price,Medium,520
3788,Educational,22642,4718467,15,3,25,25,3,Adverse,Yes,4,7,Kolkata,1,20,Fixed price,Low,886
3789,Commercial,31298,32674610,50,6,40,67,2,Adverse,No,1,1,Delhi,3,10,Fixed price,High,410
3790,Commercial,2651,43823336,68,9,18,42,3,Adverse,Yes,1,2,Chennai,9,19,Fixed price,High,822
3791,Educational,4999,7940112,34,1,38,25,0,Moderate,Yes,2,9,Chennai,7,11,Fixed price,Medium,798
3792,Residential,22211,15942972,91,5,41,43,2,Adverse,Yes,1,6,Kolkata,3,5,Fixed price,Medium,656
3793,Residential,10260,54154595,51,7,47,41,1,Moderate,No,1,10,Banglore,4,4,Fixed price,Low,195
3794,Educational,45559,7422026,29,3,7,52,1,Favorable,Yes,1,5,Banglore,8,8,Fixed price,Medium,515
3795,Infrastructure,15026,57609470,64,1,5,46,2,Favorable,Yes,2,4,Hyderabad,2,13,Time and materials,Medium,867
3796,Commercial,29780,79241345,49,7,28,91,3,Moderate,No,5,4,Banglore,9,16,Time and materials,Medium,420
3797,Infrastructure,16471,17391239,66,5,27,52,4,Adverse,No,1,9,Pune,3,2,Time and materials,Medium,422
3798,Infrastructure,43028,82556863,92,5,36,42,3,Favorable,Yes,1,2,Hyderabad,4,8,Time and materials,Low,940
3799,Industrial,23515,61244206,92,4,6,11,1,Moderate,Yes,1,0,Pune,2,2,Time and materials,Low,189
3800,Commercial,43135,36700774,65,5,30,33,5,Favorable,No,4,7,Chennai,8,13,Time and materials,Low,626
3801,Residential,32655,31533028,47,6,33,73,5,Moderate,No,3,3,Hyderabad,5,7,Time and materials,Low,513
3802,Infrastructure,38093,68118017,72,6,5,23,2,Moderate,Yes,3,5,Chennai,6,4,Fixed price,High,589
3803,Commercial,2065,15319974,28,8,45,45,5,Adverse,No,1,1,Mumbai,3,20,Time and materials,Low,198
3804,Infrastructure,26966,12288067,55,4,30,99,1,Adverse,Yes,4,1,Mumbai,3,6,Fixed price,High,966
3805,Residential,16072,12040644,19,6,29,45,1,Moderate,Yes,5,4,Pune,10,14,Time and materials,Low,323
3806,Commercial,11259,36341052,36,3,39,66,5,Adverse,Yes,2,6,Mumbai,2,5,Fixed price,High,784
3807,Residential,25396,51368949,8,2,8,66,1,Adverse,No,5,3,Hyderabad,4,20,Fixed price,Low,576
3808,Industrial,18386,73347764,99,3,21,32,1,Moderate,Yes,1,9,Mumbai,3,1,Fixed price,Low,959
3809,Commercial,37176,28123471,68,4,42,55,5,Adverse,Yes,2,8,Kolkata,9,9,Fixed price,High,319
3810,Educational,49109,40797156,63,9,32,100,2,Adverse,No,3,8,Delhi,10,10,Fixed price,Low,473
3811,Educational,29803,72225770,79,5,21,24,4,Moderate,No,1,5,Banglore,1,5,Time and materials,Medium,181
3812,Industrial,3619,28744228,31,2,37,80,3,Moderate,Yes,5,0,Delhi,2,5,Fixed price,High,105
3813,Commercial,17764,77479836,40,3,44,63,3,Favorable,No,5,1,Pune,10,8,Time and materials,Medium,835
3814,Residential,37111,43572344,46,5,6,22,3,Adverse,Yes,2,5,Hyderabad,5,1,Fixed price,Low,970
3815,Commercial,49809,14375185,55,8,34,25,2,Adverse,No,3,8,Hyderabad,1,5,Time and materials,Medium,965
3816,Educational,15412,46690571,68,6,6,1,2,Favorable,Yes,4,1,Banglore,10,17,Fixed price,High,677
3817,Commercial,16429,21505300,66,7,46,25,5,Moderate,Yes,4,4,Hyderabad,1,7,Fixed price,High,368
3818,Commercial,8163,18636820,21,5,50,73,5,Moderate,Yes,4,10,Pune,7,9,Time and materials,High,209
3819,Educational,23968,13464177,26,10,15,84,4,Moderate,Yes,3,9,Delhi,1,13,Time and materials,High,670
3820,Educational,13756,12304833,74,8,45,77,4,Adverse,No,5,7,Banglore,10,20,Time and materials,Low,160
3821,Infrastructure,30028,77674056,61,6,47,29,5,Favorable,No,1,5,Pune,8,20,Fixed price,Medium,501
3822,Commercial,33786,82884796,15,9,36,58,4,Moderate,Yes,3,3,Banglore,6,11,Fixed price,High,148
3823,Residential,27605,38718089,96,10,28,97,4,Moderate,Yes,1,0,Hyderabad,4,13,Time and materials,Medium,903
3824,Industrial,47835,50796664,56,4,8,58,2,Favorable,Yes,2,6,Delhi,4,19,Time and materials,High,645
3825,Residential,14285,48295957,22,10,33,70,1,Adverse,No,3,1,Chennai,3,1,Fixed price,High,613
3826,Infrastructure,2448,5445049,30,1,41,61,3,Favorable,No,2,9,Banglore,1,5,Time and materials,Medium,171
3827,Residential,9283,60428482,73,8,19,50,4,Adverse,No,1,9,Kolkata,10,19,Fixed price,Low,152
3828,Educational,14983,12032593,48,9,16,38,3,Adverse,Yes,4,1,Banglore,10,19,Fixed price,High,811
3829,Infrastructure,44131,60715745,47,3,35,100,3,Adverse,Yes,4,2,Hyderabad,2,9,Fixed price,Medium,768
3830,Infrastructure,33922,42800693,66,9,7,94,1,Adverse,No,4,5,Banglore,8,20,Time and materials,Low,624
3831,Industrial,6970,9745943,57,6,11,42,1,Favorable,Yes,5,0,Delhi,1,6,Time and materials,High,803
3832,Infrastructure,4263,43450666,86,6,5,90,1,Favorable,Yes,3,3,Delhi,9,2,Time and materials,Medium,356
3833,Commercial,24340,6967850,53,2,37,96,5,Favorable,No,2,6,Pune,10,20,Time and materials,Medium,875
3834,Industrial,22307,79451916,90,2,33,85,4,Moderate,Yes,2,8,Banglore,10,19,Fixed price,High,260
3835,Industrial,17182,79191379,49,4,45,26,2,Moderate,Yes,2,7,Pune,3,4,Time and materials,High,817
3836,Infrastructure,27389,45120543,72,4,38,56,5,Adverse,No,4,10,Kolkata,7,10,Fixed price,Low,197
3837,Commercial,40479,32850736,87,3,38,30,2,Moderate,No,1,4,Hyderabad,9,14,Time and materials,High,348
3838,Residential,15276,32918464,100,7,17,93,3,Favorable,No,3,10,Delhi,9,3,Fixed price,Medium,558
3839,Educational,39915,17489345,26,7,20,31,4,Adverse,No,5,1,Pune,10,11,Fixed price,High,210
3840,Infrastructure,25069,76835258,23,9,31,41,5,Moderate,Yes,4,7,Pune,1,6,Fixed price,Medium,146
3841,Commercial,26692,7077659,10,2,28,60,3,Favorable,No,2,1,Pune,5,19,Fixed price,Medium,846
3842,Commercial,27695,72788842,38,1,6,78,2,Favorable,No,2,6,Pune,2,3,Fixed price,Low,468
3843,Commercial,17441,35491132,78,3,45,83,3,Adverse,Yes,3,8,Hyderabad,2,15,Time and materials,Low,728
3844,Industrial,17612,5695128,25,9,43,24,0,Adverse,No,4,5,Delhi,6,4,Time and materials,High,810
3845,Infrastructure,26745,71634727,27,5,42,70,2,Adverse,Yes,3,10,Kolkata,2,3,Fixed price,Low,695
3846,Infrastructure,9976,10629727,41,5,17,44,3,Favorable,No,5,1,Banglore,1,13,Fixed price,Medium,714
3847,Residential,21883,34666112,95,2,44,64,4,Adverse,No,2,7,Hyderabad,6,14,Fixed price,Low,623
3848,Educational,28745,49227466,34,9,48,31,0,Adverse,Yes,1,1,Hyderabad,3,3,Time and materials,High,285
3849,Infrastructure,22837,52911836,86,5,48,16,1,Moderate,Yes,3,8,Chennai,4,19,Time and materials,High,882
3850,Commercial,36137,58900784,25,9,39,75,0,Favorable,No,4,1,Chennai,9,13,Fixed price,Low,375
3851,Educational,48556,4211752,26,10,36,45,5,Moderate,Yes,5,10,Kolkata,4,4,Fixed price,Low,288
3852,Residential,30007,44761983,9,3,9,21,3,Adverse,No,3,8,Delhi,9,4,Fixed price,High,488
3853,Residential,5504,77799801,27,2,34,7,1,Adverse,Yes,1,7,Delhi,2,6,Time and materials,High,605
3854,Residential,24403,50677974,85,7,19,81,0,Adverse,Yes,1,8,Kolkata,3,14,Time and materials,Medium,532
3855,Commercial,41189,72189084,82,5,31,34,0,Favorable,Yes,4,3,Pune,4,1,Fixed price,Medium,181
3856,Educational,7079,26659351,90,10,48,45,3,Adverse,Yes,4,10,Hyderabad,2,16,Time and materials,High,652
3857,Educational,13162,75797094,80,7,15,0,1,Favorable,No,4,0,Delhi,8,6,Fixed price,Medium,448
3858,Educational,15036,9302557,54,5,43,64,2,Adverse,No,5,9,Pune,7,18,Fixed price,Low,603
3859,Educational,45377,40321649,39,1,29,83,5,Adverse,No,3,0,Chennai,5,12,Fixed price,Medium,114
3860,Infrastructure,20500,71334516,36,8,18,79,4,Adverse,Yes,1,9,Delhi,5,6,Fixed price,Medium,369
3861,Commercial,7652,42401795,39,2,10,15,2,Moderate,No,3,3,Delhi,7,15,Fixed price,Medium,229
3862,Residential,2351,79425107,66,3,18,46,0,Adverse,No,3,8,Hyderabad,10,2,Time and materials,High,978
3863,Industrial,21561,19881571,49,6,23,61,2,Moderate,No,3,0,Mumbai,2,17,Fixed price,Medium,613
3864,Residential,16722,29800486,62,1,42,21,4,Adverse,Yes,3,0,Banglore,7,4,Fixed price,High,513
3865,Educational,22285,72398493,39,7,40,64,3,Favorable,No,4,3,Chennai,9,19,Fixed price,Medium,882
3866,Residential,8214,31259875,87,9,49,88,1,Adverse,No,1,0,Delhi,2,4,Fixed price,High,330
3867,Industrial,2759,78998736,74,9,32,2,5,Adverse,Yes,2,8,Chennai,7,2,Time and materials,Low,622
3868,Infrastructure,29121,71185614,42,1,41,99,0,Adverse,No,4,9,Banglore,8,9,Fixed price,Low,847
3869,Residential,38564,22046211,40,6,17,78,3,Moderate,Yes,5,10,Delhi,5,7,Time and materials,High,645
3870,Industrial,22637,16462635,63,9,18,32,3,Moderate,Yes,2,5,Hyderabad,10,9,Fixed price,Medium,365
3871,Educational,14614,63688639,96,8,38,93,1,Adverse,Yes,5,3,Hyderabad,8,19,Fixed price,Medium,645
3872,Residential,35333,53416144,84,3,21,93,5,Moderate,Yes,5,10,Chennai,9,2,Time and materials,High,377
3873,Infrastructure,1434,31717952,12,1,20,71,4,Adverse,No,3,2,Pune,3,6,Fixed price,Low,658
3874,Educational,8531,29104614,81,8,27,43,3,Moderate,Yes,2,2,Chennai,9,3,Fixed price,High,598
3875,Commercial,44962,52525388,24,3,43,34,3,Moderate,No,5,1,Kolkata,5,14,Fixed price,High,620
3876,Infrastructure,38716,35870193,91,2,37,72,2,Moderate,No,1,0,Hyderabad,2,18,Time and materials,Low,249
3877,Commercial,45922,23787883,39,6,17,62,4,Favorable,No,3,3,Chennai,5,3,Fixed price,Low,626
3878,Infrastructure,31282,58631947,81,1,28,65,0,Moderate,No,3,8,Kolkata,7,17,Time and materials,Medium,709
3879,Industrial,46439,45338086,43,9,18,19,4,Adverse,Yes,3,0,Banglore,7,10,Time and materials,Medium,595
3880,Infrastructure,20692,77115300,56,2,45,53,2,Favorable,No,1,10,Banglore,7,9,Time and materials,High,146
3881,Educational,47135,56767269,52,10,9,18,2,Moderate,Yes,1,8,Pune,9,12,Fixed price,Medium,685
3882,Educational,41967,42036512,76,8,47,29,1,Moderate,Yes,1,2,Banglore,1,1,Time and materials,Medium,230
3883,Industrial,44284,54227552,50,1,41,88,3,Adverse,No,3,8,Banglore,1,14,Fixed price,Medium,975
3884,Educational,42035,46980656,48,4,48,86,4,Moderate,Yes,3,1,Hyderabad,1,13,Time and materials,Medium,529
3885,Industrial,38352,29683207,52,8,11,25,5,Favorable,No,1,4,Delhi,3,1,Time and materials,Medium,691
3886,Industrial,19361,4604591,5,8,26,9,3,Adverse,Yes,5,10,Mumbai,9,1,Fixed price,Medium,402
3887,Residential,21942,52473181,93,6,32,48,5,Moderate,Yes,2,2,Delhi,6,10,Time and materials,High,976
3888,Industrial,41660,64735435,23,4,43,40,2,Adverse,Yes,5,2,Kolkata,3,7,Fixed price,Low,412
3889,Educational,29774,78316227,27,7,9,29,3,Favorable,No,2,4,Hyderabad,7,9,Fixed price,Medium,377
3890,Industrial,11936,9091239,32,5,28,66,1,Moderate,No,4,3,Chennai,10,20,Time and materials,Low,957
3891,Infrastructure,33564,34452553,49,6,36,71,2,Adverse,Yes,2,2,Mumbai,9,16,Time and materials,Medium,861
3892,Commercial,2423,31343539,64,10,9,90,2,Favorable,No,2,10,Hyderabad,9,20,Time and materials,High,671
3893,Commercial,7852,36466299,85,2,5,51,1,Favorable,Yes,2,2,Delhi,8,20,Fixed price,High,695
3894,Residential,1297,52415496,48,1,25,87,0,Adverse,No,2,8,Banglore,9,16,Time and materials,Low,919
3895,Commercial,2224,24126689,45,10,19,62,1,Adverse,No,1,6,Hyderabad,5,11,Fixed price,Medium,266
3896,Industrial,2195,39244724,84,3,42,49,3,Moderate,Yes,3,10,Chennai,1,17,Fixed price,High,844
3897,Educational,43378,42088387,30,9,12,35,1,Moderate,Yes,1,3,Chennai,8,6,Fixed price,Medium,113
3898,Commercial,5072,30360238,31,8,29,77,1,Favorable,Yes,1,6,Pune,5,6,Fixed price,Medium,510
3899,Commercial,19844,39580044,79,10,50,58,0,Adverse,No,2,3,Mumbai,10,19,Fixed price,High,129
3900,Educational,10457,56638702,40,3,41,22,2,Moderate,No,5,8,Hyderabad,1,19,Fixed price,Medium,864
3901,Infrastructure,4447,68318462,62,3,39,85,0,Moderate,Yes,2,5,Banglore,6,20,Fixed price,High,452
3902,Residential,40721,72707751,39,8,40,6,4,Favorable,Yes,5,6,Delhi,3,19,Fixed price,Medium,652
3903,Educational,42764,33554244,30,6,35,52,3,Moderate,No,5,4,Delhi,4,14,Time and materials,High,101
3904,Educational,29566,73994998,23,4,43,21,0,Adverse,No,2,8,Mumbai,9,11,Time and materials,High,739
3905,Industrial,10934,32477651,9,6,29,79,1,Moderate,No,1,0,Hyderabad,7,20,Fixed price,Medium,681
3906,Residential,27324,23055242,91,5,32,37,4,Favorable,No,5,7,Kolkata,3,8,Fixed price,Low,313
3907,Industrial,14177,32972082,40,5,8,85,3,Adverse,No,4,1,Delhi,9,13,Fixed price,High,180
3908,Commercial,20313,79455568,42,2,31,23,4,Moderate,Yes,4,1,Kolkata,3,13,Fixed price,High,908
3909,Industrial,2524,59010925,37,9,10,56,3,Favorable,No,5,0,Chennai,8,13,Fixed price,Low,398
3910,Industrial,15989,4942401,18,9,16,3,0,Moderate,Yes,4,8,Kolkata,9,12,Fixed price,Medium,118
3911,Industrial,8329,10800790,42,6,8,28,2,Adverse,Yes,5,9,Kolkata,3,4,Time and materials,High,400
3912,Residential,33762,22214784,75,5,38,33,0,Adverse,No,5,9,Chennai,3,14,Time and materials,Low,351
3913,Industrial,42147,76287541,83,8,15,30,4,Favorable,No,5,7,Chennai,10,8,Time and materials,Low,829
3914,Residential,43431,13399022,7,4,5,45,4,Adverse,No,4,0,Delhi,3,7,Time and materials,Low,258
3915,Educational,46143,19694987,68,7,14,100,1,Moderate,No,1,2,Chennai,7,8,Fixed price,High,199
3916,Infrastructure,11614,8500943,49,5,5,39,2,Adverse,No,5,1,Delhi,4,10,Time and materials,High,533
3917,Residential,15842,33808473,34,7,40,32,1,Favorable,Yes,1,5,Banglore,5,5,Time and materials,Low,157
3918,Industrial,5118,81591490,67,10,9,69,0,Moderate,Yes,3,1,Mumbai,8,12,Fixed price,Medium,155
3919,Industrial,14044,44794934,76,10,45,62,3,Favorable,No,4,0,Mumbai,1,13,Time and materials,Low,365
3920,Industrial,41906,64790381,91,3,45,88,5,Moderate,No,1,7,Pune,7,9,Fixed price,High,362
3921,Residential,18290,38299354,66,7,13,46,5,Favorable,No,3,5,Hyderabad,6,11,Time and materials,High,465
3922,Commercial,40084,29980264,31,4,35,80,1,Favorable,No,1,1,Pune,8,6,Time and materials,Low,517
3923,Residential,18479,11491350,68,2,7,98,1,Moderate,No,1,5,Kolkata,6,4,Fixed price,Medium,592
3924,Residential,38273,59644713,20,8,23,33,2,Moderate,Yes,5,0,Hyderabad,9,2,Fixed price,Medium,288
3925,Industrial,38172,58403365,15,2,47,93,0,Favorable,Yes,2,7,Hyderabad,7,19,Time and materials,Low,581
